ID,Long,Lat,Source,Network,Intensity,PGA,PGV,Distance,VS30,HNZ_PGA,HNN_PGA,HNE_PGA,HNZ_PGV,HNN_PGV,HNE_PGV,HNZ_sa(0.3),HNN_sa(0.3),HNE_sa(0.3),HNZ_sa(1.0),HNN_sa(1.0),HNE_sa(1.0),HNZ_sa(3.0),HNN_sa(3.0),HNE_sa(3.0)
NC.C064,-122.18460,37.80510,NC,NC,2.4,0.042,0.1997,448.685,760.0,0.0225,0.0420,0.0313,0.1129,0.1997,0.1546,0.0229,0.0466,0.0348,0.0456,0.0788,0.0668,0.0476,0.0839,0.0792
NC.H002,-121.64740,36.87710,NC,NC,2.9,0.1298,0.4799,366.785,324.75,0.0589,0.1298,0.1102,0.2582,0.4173,0.4799,0.0711,0.1658,0.1270,0.1900,0.2612,0.5836,0.0616,0.3740,0.2110
NC.J012,-122.10690,37.40600,NC,NC,3.2,0.1992,0.7689,424.322,320.57,0.0514,0.1077,0.1992,0.1270,0.3989,0.7689,0.0512,0.1073,0.2045,0.0970,0.2648,0.4526,0.0754,0.2781,0.7871
NC.J035,-122.37800,37.55780,NC,NC,2.2,0.0412,0.1618,452.809,760.0,0.0217,0.0412,0.0342,0.1031,0.1618,0.1345,0.0233,0.0451,0.0443,0.0562,0.0970,0.1029,0.0843,0.1102,0.0921
NC.J039,-122.45300,37.62100,NC,NC,2,0.0268,0.1076,461.603,760.0,0.0200,0.0268,0.0240,0.0933,0.1076,0.0912,0.0223,0.0300,0.0226,0.0354,0.0532,0.0606,0.0562,0.0599,0.0562
NC.J051,-122.00780,37.31290,NC,NC,3.3,0.1854,0.8285,412.412,415.81,0.1170,0.1854,0.1703,0.3764,0.8285,0.6400,0.1416,0.1984,0.1757,0.2742,0.2813,0.3226,0.2092,0.4543,0.3067
AZ.BZN,-116.66700,33.49150,AZ,AZ,3.9,0.6706,2.2752,239.843,591.12,0.4804,0.6706,0.5206,0.6272,0.9444,2.2752,1.3270,2.9917,1.0313,0.4746,1.1059,0.7079,0.2174,0.2697,0.5088
AZ.CRY,-116.73730,33.56540,AZ,AZ,3.8,0.5454,1.9267,230.247,559.02,0.2541,0.5220,0.5454,0.7893,0.9151,1.9267,0.5637,1.4536,1.1444,0.6875,0.7786,0.9182,0.1850,0.1866,0.3485
AZ.CSLB,-118.11230,33.77990,AZ,AZ,5.2,1.5657,7.1687,210.290,286.15,0.7529,1.5657,1.3325,3.4379,7.0829,7.1687,0.9007,1.7650,1.4082,1.1108,3.2278,4.9829,1.6763,2.5640,3.8142
AZ.FRD,-116.60220,33.49470,AZ,AZ,3.9,0.5038,2.2429,241.172,351.39,0.2659,0.3016,0.5038,0.6068,0.8022,2.2429,0.4368,0.7910,0.8917,0.5378,0.7396,0.9044,0.1625,0.3033,0.4781
AZ.GARR,-116.67080,33.59180,AZ,AZ,3.2,0.3524,0.7642,229.048,729.75,0.1920,0.3524,0.3411,0.5135,0.7642,0.7055,0.2766,0.6084,0.4765,0.8769,0.8448,1.5663,0.1848,0.3891,0.2787
AZ.HSSP,-116.66410,33.58470,AZ,AZ,3.5,0.432,1.0995,229.976,397.41,0.2196,0.3228,0.4320,0.4313,0.8047,1.0995,0.3729,0.4220,0.5378,0.8229,0.8813,0.7617,0.1246,0.3068,0.3342
AZ.LVA2,-116.56150,33.35160,AZ,AZ,4.1,0.6541,3.124,257.450,685.63,0.2416,0.4241,0.6541,0.6848,0.8733,3.1240,0.7128,0.9164,1.0859,0.7281,1.4058,2.6581,0.1886,0.2248,0.6890
AZ.MONP2,-116.42230,32.89200,AZ,AZ,3.5,0.3244,1.1973,309.966,712.65,0.1017,0.1838,0.3244,0.7973,0.7718,1.1973,0.2455,0.3464,0.5428,0.2104,0.3736,0.6934,0.2005,0.1818,0.2528
AZ.MTRP,-117.05670,32.82030,AZ,AZ,3.2,0.1379,0.7744,306.728,573.9,0.1042,0.0913,0.1379,0.5668,0.3709,0.7744,0.2786,0.2172,0.3435,0.1797,0.1784,0.2138,0.1432,0.1018,0.2663
AZ.PFO,-116.45940,33.61170,AZ,AZ,3.9,0.4546,2.2502,233.153,738.3,0.2533,0.3131,0.4546,0.6449,0.9041,2.2502,0.5709,0.4778,0.5683,0.3180,0.5274,0.9012,0.2145,0.2875,0.7123
AZ.RDM,-116.84780,33.63000,AZ,AZ,3.6,0.5805,1.2939,220.902,720.09,0.3323,0.4181,0.5805,0.7391,1.0572,1.2939,1.0191,1.1137,1.3453,0.7318,0.4342,0.3643,0.1794,0.2907,0.4021
AZ.SCI2,-118.48790,32.91500,AZ,AZ,3.3,0.214,0.8835,312.279,595.77,0.1025,0.2140,0.1419,0.5199,0.6242,0.8835,0.1680,0.3379,0.3341,0.1699,0.3588,0.3556,0.1523,0.2897,0.2009
AZ.SETM,-116.56150,33.50970,AZ,AZ,2.5,Null,0.2372,240.706,717.3,0.0822,0.0789,0.0679,0.2503,0.2372,0.2308,0.1310,0.1199,0.1434,0.2037,0.1981,0.1722,0.0690,0.1080,0.0990
AZ.SGBF,-116.59290,33.53650,AZ,AZ,2.8,0.117,0.4083,236.996,730.73,0.0603,0.1170,0.1122,0.1372,0.4083,0.3287,0.0887,0.2334,0.1699,0.1863,0.2322,0.2672,0.0563,0.1854,0.1156
AZ.SMER,-117.17080,33.45770,AZ,AZ,3.4,0.3444,0.9692,235.450,728.34,0.0585,0.0489,0.0623,0.1467,0.1884,0.1894,0.0874,0.0813,0.1366,0.0854,0.1241,0.1042,0.0982,0.1058,0.0672
AZ.SND,-116.61290,33.55190,AZ,AZ,4.1,1.024,2.8202,234.817,738.58,0.4654,0.6552,1.0240,0.9496,0.8995,2.8202,0.9805,2.4483,2.9883,1.0317,0.9555,1.4818,0.2473,0.2318,0.7865
AZ.TRAN,-116.58340,33.49550,AZ,AZ,2.6,Null,0.274,241.597,385.32,0.0453,0.0643,0.0407,0.1576,0.2740,0.1594,0.0741,0.0822,0.0485,0.1350,0.1261,0.1088,0.0484,0.1221,0.0557
AZ.TRO,-116.42570,33.52340,AZ,AZ,4.1,1.4894,2.8676,243.414,741.03,0.3100,1.4894,1.2338,0.8103,1.7268,2.8676,0.7087,3.2983,3.4465,0.6383,2.5751,2.8571,0.1522,0.3462,1.0334
AZ.TUBB,-116.40910,33.21010,AZ,AZ,2.8,0.0812,0.3818,276.666,699.63,0.0592,0.0812,0.0759,0.2145,0.3818,0.1792,0.1111,0.1363,0.1279,0.1185,0.1533,0.2550,0.0933,0.1363,0.0750
AZ.WMC,-116.67470,33.57360,AZ,AZ,2.9,0.1733,0.4557,230.887,525.17,0.0868,0.1453,0.1733,0.2370,0.4299,0.4557,0.2276,0.2414,0.2885,0.1337,0.3344,0.3609,0.0950,0.1871,0.2156
BC.CBX,-116.66360,32.31310,BC,BC,3.3,0.3225,0.8029,367.378,729.86,0.1399,0.3225,0.5794,0.7137,0.8029,1.0084,0.6125,0.6902,0.9981,0.1912,0.8000,1.2297,0.2691,0.3633,0.5523
BC.CPX,-115.30500,32.41950,BC,BC,3.9,0.2961,2.1094,398.301,458.21,0.1178,0.2112,0.2961,0.3630,0.7986,2.1094,0.1570,0.2587,0.4185,0.1405,0.4932,0.4182,0.2033,0.3453,0.6646
BC.GUVIX,-115.07600,32.30290,BC,BC,4,0.2648,2.4986,419.985,194.09,0.0746,0.1810,0.2648,0.3950,1.8679,2.4986,0.1029,0.2377,0.3445,0.1541,0.3197,0.4403,0.1083,0.2752,0.3962
BC.PESCX,-114.96490,32.43380,BC,BC,3.9,0.4063,2.1141,412.878,199.8,0.1046,0.3220,0.4063,0.5899,1.5424,2.1141,0.1218,0.3606,0.4939,0.1644,0.5964,0.7781,0.1050,0.2734,0.5255
BC.RMX,-116.02880,32.55350,BC,BC,3.5,0.1513,1.1585,357.036,516.02,0.0994,0.0831,0.1513,0.6566,0.5536,1.1585,0.1271,0.1702,0.2839,0.1789,0.2387,0.2327,0.1107,0.1695,0.2430
BC.SJX,-115.94800,32.00480,BC,BC,3.5,0.1352,1.1869,416.949,341.18,0.0708,0.0723,0.1352,0.3266,0.6315,1.1869,0.1182,0.0904,0.1912,0.1585,0.1544,0.3436,0.1124,0.1431,0.1784
BC.SLRCX,-114.70490,32.45790,BC,BC,3.8,0.439,1.852,424.047,203.88,0.1218,0.3138,0.4390,0.6444,1.4567,1.8520,0.1828,0.4632,0.5294,0.2432,0.6606,0.9938,0.2921,0.6858,0.7705
BC.TJX,-117.05430,32.51017,BC,BC,3.6,0.4376,1.3193,340.962,528.25,0.2266,0.3759,0.4376,0.4546,1.3193,1.0446,0.5088,0.6748,0.5211,0.4234,0.8157,1.1791,0.1985,0.6536,0.5548
BC.TKX,-116.60750,32.56870,BC,BC,3.2,0.2463,0.7648,340.578,219.52,0.1075,0.1381,0.2463,0.5335,0.4396,0.7648,0.2857,0.4877,0.4716,0.1171,0.1238,0.3733,0.1167,0.1147,0.1348
BK.BDM,-121.86554,37.95397,BK,BK,3.2,0.1208,0.7868,431.942,465.28,0.0799,0.1208,0.1047,0.2016,0.7868,0.4988,0.1070,0.1340,0.1300,0.1791,0.2887,0.2462,0.0654,0.1724,0.1722
BK.BKS,-122.23558,37.87622,BK,BK,2.8,0.0516,0.3769,456.241,760.0,0.0344,0.0476,0.0447,0.1228,0.3199,0.2668,0.0378,0.0606,0.0516,0.0820,0.1112,0.1291,0.0326,0.0923,0.0689
BK.BL67,-122.24320,37.87490,BK,BK,2.7,0.05,0.3136,456.769,760.0,0.0324,0.0500,0.0459,0.1302,0.3136,0.2325,0.0339,0.0597,0.0567,0.0664,0.1030,0.1010,0.0302,0.0821,0.0767
BK.BL88,-122.25430,37.87720,BK,BK,2.7,0.0605,0.3144,457.753,760.0,0.0290,0.0455,0.0605,0.1174,0.3144,0.2669,0.0466,0.0770,0.0709,0.0559,0.1125,0.1429,0.0352,0.0669,0.0883
BK.BUCR,-120.14960,37.67330,BK,BK,3.4,0.251,0.9923,291.073,715.51,0.1628,0.2085,0.2510,0.5991,0.9923,0.8494,0.3869,0.4725,0.4761,0.3445,0.5556,0.5595,0.1282,0.1864,0.1953
BK.CMB,-120.38651,38.03455,BK,BK,3.4,0.1688,1.0328,333.596,719.12,0.1107,0.1232,0.1688,0.6166,0.9494,1.0328,0.1702,0.2444,0.2304,0.1636,0.2018,0.2554,0.1001,0.1328,0.1449
BK.HULI,-121.23550,36.02130,BK,BK,3,0.1553,0.5079,315.768,430.9,0.1129,0.1386,0.1553,0.3184,0.5079,0.4352,0.1579,0.2287,0.2003,0.3687,0.4203,0.3975,0.1945,0.2049,0.2759
BK.JEPS,-121.82520,38.25790,BK,BK,3.4,0.2587,1.0128,447.014,323.22,0.1148,0.2184,0.2587,0.7135,1.0128,0.8901,0.1249,0.2481,0.2954,0.2816,0.5128,0.8820,0.1534,0.2934,0.4798
BK.JRSC,-122.23870,37.40370,BK,BK,2.7,0.0558,0.3362,435.070,760.0,0.0263,0.0558,0.0430,0.2082,0.3362,0.2336,0.0302,0.0673,0.0491,0.0657,0.0794,0.1095,0.0480,0.1055,0.0861
BK.KARE,-119.50380,36.59740,BK,BK,4.1,1.7213,2.7606,176.318,261.85,0.8941,1.7213,1.2807,0.8318,2.7606,1.8649,2.1496,5.3506,5.0752,0.9032,3.0469,1.8338,0.1715,1.7490,0.7847
BK.KCC,-119.31870,37.32363,BK,BK,3.6,0.239,1.333,211.452,719.7,0.1604,0.1946,0.2390,0.8677,1.1953,1.3330,0.3729,0.3049,0.3584,0.2984,0.2297,0.2739,0.2090,0.1870,0.1669
BK.LCUV,-120.73220,35.65200,BK,BK,3.2,0.7344,0.762,272.279,404.08,0.3647,0.7344,0.5727,0.4814,0.7094,0.7620,1.2005,1.6488,1.3710,0.5594,1.2418,1.1299,0.2012,0.3525,0.2661
BK.LEGD,-120.14920,37.21430,BK,BK,3.5,0.7285,1.1244,260.083,373.93,0.4108,0.5271,0.7285,0.4595,1.1244,0.9869,0.8489,1.1547,1.6497,0.7236,0.8823,1.0086,0.1142,0.2118,0.2414
BK.LIND,-119.05670,36.35310,BK,BK,3.7,1.4355,1.5351,128.728,601.22,1.1434,1.4355,1.3462,0.9757,1.5351,1.1972,1.5434,1.9197,2.0579,1.1334,0.7072,0.8533,0.2062,0.4377,0.3063
BK.MHC,-121.64257,37.34164,BK,BK,3,0.1063,0.5484,383.674,694.99,0.0485,0.1063,0.0965,0.1968,0.5484,0.4219,0.0691,0.1591,0.1362,0.0988,0.2788,0.2382,0.1098,0.1110,0.1222
BK.MTOS,-121.32780,37.50490,BK,BK,3.1,0.1473,0.6147,366.378,732.84,0.0939,0.1429,0.1473,0.2570,0.6147,0.3284,0.1923,0.2837,0.4194,0.2248,0.4571,0.3547,0.0652,0.1797,0.0812
BK.PACP,-121.28700,37.00800,BK,BK,3.2,0.2525,0.7378,340.725,744.87,0.0755,0.2366,0.2525,0.2927,0.7378,0.5063,0.1240,0.4823,0.6011,0.2118,0.4041,0.4448,0.1198,0.2475,0.1469
BK.PINL,-122.36600,38.01000,BK,BK,2.8,0.0632,0.4212,473.248,760.0,0.0398,0.0562,0.0632,0.1208,0.4212,0.3021,0.0461,0.0860,0.0912,0.1085,0.1693,0.1569,0.0866,0.1186,0.1033
BK.PKD,-120.54160,35.94517,BK,BK,3.2,0.2063,0.732,253.150,330.92,0.1237,0.1803,0.2047,0.3667,0.5860,0.7320,0.2341,0.3359,0.2557,0.2334,0.5111,0.7565,0.1229,0.1278,0.2228
BK.RAMR,-120.86984,35.63597,BK,BK,Null,Null,Null,284.856,342.94,0.3735,0.5495,0.5500,0.6194,0.8272,0.8297,0.7625,1.2072,1.1888,0.9700,1.3397,1.2559,0.1132,0.1796,0.2266
BK.RFSB,-122.33610,37.91610,BK,BK,2.6,0.0606,0.3028,466.105,760.0,0.0241,0.0606,0.0281,0.1112,0.3028,0.0840,0.0366,0.0801,0.0343,0.0505,0.1258,0.0353,0.0289,0.0424,0.0198
BK.RUSS,-121.86740,38.54460,BK,BK,3.6,0.2048,1.3906,468.605,307.11,0.0872,0.2015,0.2048,0.7112,1.3906,0.7901,0.0902,0.2572,0.2336,0.1732,0.3073,0.4096,0.1500,0.2848,0.2478
BK.SAO,-121.44722,36.76403,BK,BK,3,0.1018,0.524,346.272,730.49,0.0694,0.0777,0.0795,0.2391,0.4242,0.3847,0.0803,0.1056,0.1326,0.1308,0.2175,0.1923,0.1576,0.1752,0.1053
BK.SCCB,-121.86420,37.28740,BK,BK,2.9,0.1168,0.4891,399.541,623.45,0.0673,0.1148,0.1168,0.2038,0.4891,0.4415,0.0796,0.1720,0.1809,0.1355,0.2755,0.2863,0.0807,0.0709,0.1182
BK.SCZ,-121.40300,36.59800,BK,BK,2.8,0.0545,0.3684,338.165,650.37,0.0526,0.0545,0.0488,0.2663,0.3684,0.2578,0.0834,0.0775,0.0811,0.1174,0.1213,0.1669,0.1438,0.0770,0.1043
BK.TCAS,-120.56010,35.60950,BK,BK,3.4,0.5328,1.0462,257.453,417.31,0.3268,0.5328,0.4755,0.6941,1.0462,1.0460,0.6947,1.1122,1.1458,0.6237,0.8383,0.9658,0.6735,1.0322,0.6477
BK.TCHL,-120.40090,35.68810,BK,BK,3.7,0.9586,1.7189,242.045,395.24,0.3955,0.8078,0.9586,0.8522,1.1149,1.7189,1.5293,2.3781,1.9004,0.7172,1.5937,1.7362,0.5541,0.6708,0.7880
BK.THIS,-120.22845,35.72405,BK,BK,3.7,0.9262,1.5246,226.109,393.23,0.4653,0.9262,0.9057,0.6041,1.2971,1.5246,2.3203,2.9639,2.0762,0.8580,1.4881,1.6554,0.2308,0.3791,0.8703
BK.TRAM,-120.27093,35.67691,BK,BK,3.6,0.7519,1.272,230.519,375.61,0.3813,0.7519,0.6032,0.7150,1.2501,1.2720,0.6545,1.1944,1.1506,0.9338,1.8770,1.8576,0.3621,0.3803,0.8819
BK.TRAY,-120.12580,35.55170,BK,BK,4,1.8159,2.5646,219.729,405.12,0.5290,1.4608,1.8159,0.7899,2.2781,2.5646,0.8975,2.6079,2.5277,1.3213,3.9021,3.3341,0.2751,0.7770,1.0960
BK.TSCN,-120.34806,35.54398,BK,BK,4.6,2.2603,4.6417,239.676,407.63,0.3652,2.2603,0.6129,0.7586,4.6417,1.3160,0.8924,5.6048,1.1639,0.8964,7.5647,1.4298,0.5285,2.1832,0.7705
BK.TSCS,-120.35370,35.44070,BK,BK,2.9,0.2062,0.4429,242.514,518.92,0.1292,0.2062,0.1968,0.2680,0.4429,0.3227,0.4221,0.4983,0.6526,0.2036,0.3414,0.3485,0.1353,0.2092,0.0894
BK.WELL,-120.72410,38.43850,BK,BK,3.4,0.1528,0.9962,386.115,715.43,0.0833,0.1528,0.1468,0.5030,0.9962,0.7256,0.1371,0.2925,0.3072,0.2028,0.1505,0.2722,0.0992,0.1240,0.1123
BK.WENL,-121.75697,37.62211,BK,BK,2.8,0.1245,0.4035,405.970,427.69,0.0052,0.0575,0.1245,0.0101,0.4035,0.3852,0.0059,0.0723,0.1707,0.0066,0.1687,0.4500,0.0034,0.0721,0.1440
BK.WINE,-119.90770,36.67020,BK,BK,4.4,1.0211,3.9291,212.595,260.53,0.5910,0.9407,1.0211,0.9804,3.8515,3.9291,1.2756,2.5888,2.3843,0.7142,1.9354,2.3602,0.2165,1.1087,0.8820
BK.WSRE,-120.11720,36.33540,BK,BK,4,1.0427,2.3778,219.501,261.48,0.4642,1.0427,0.8426,0.6155,2.3778,1.6160,1.1458,1.8923,1.9824,0.4934,2.3712,1.4257,0.2801,0.6545,0.6473
CE.02143,-116.97410,32.83990,CE,CE,3.3,0.3673,0.9132,305.382,665.48,0.1435,0.1606,0.3673,0.5105,0.3871,0.9132,0.2101,0.3629,0.6146,0.2284,0.1898,0.2521,0.1466,0.0909,0.2181
CE.03121,-117.24180,32.74880,CE,CE,3.4,0.3256,0.9236,313.507,354.3,0.1611,0.2814,0.3256,0.4729,0.9236,0.9040,0.5727,0.8977,0.9203,0.4018,0.6536,0.7144,0.2227,0.3923,0.3229
CE.03145,-117.15790,32.70960,CE,CE,3.7,0.7688,1.5314,318.228,357.05,0.2316,0.5980,0.7114,0.3660,0.8170,0.9150,0.5373,1.5770,1.6544,0.8822,1.0816,1.3595,0.1522,0.3024,0.4024
CE.03148,-117.08000,32.73540,CE,CE,3.4,0.3339,1.0253,315.904,357.12,0.2404,0.2360,0.3339,0.4997,0.7670,1.0253,0.6178,0.5190,0.6241,0.3977,0.5659,0.8147,0.1186,0.2771,0.3806
CE.03156,-117.14230,32.91540,CE,CE,3.3,0.2902,0.8545,295.575,339.48,0.1541,0.2120,0.2902,0.4978,0.4412,0.8545,0.5790,0.6055,0.5941,0.3465,0.2789,0.5505,0.1651,0.1469,0.2179
CE.03260,-117.04160,32.95450,CE,CE,3.3,0.2454,0.8692,292.070,467.78,0.1077,0.1654,0.2454,0.5808,0.4155,0.8692,0.1796,0.3212,0.4793,0.2156,0.1697,0.2910,0.1498,0.1022,0.2037
CE.03468,-117.08490,32.57620,CE,CE,3.7,0.4504,1.5299,333.441,342.08,0.2021,0.3662,0.4504,0.7434,1.3445,1.5299,0.3438,0.6505,0.8005,0.6410,0.5968,1.0823,0.4213,0.6664,0.5600
CE.03471,-117.07670,32.66910,CE,CE,3.6,0.3961,1.3597,323.247,350.26,0.1746,0.3961,0.3172,0.5717,1.3221,1.3597,0.3905,0.5839,0.9181,0.6051,0.6801,0.9641,0.1824,0.8425,0.7480
CE.03521,-117.22390,32.87930,CE,CE,3.3,0.3491,0.8176,299.131,374.5,0.2255,0.2951,0.3491,0.5820,0.8176,0.7418,0.5819,0.8184,0.9739,0.7380,0.9407,0.6892,0.1443,0.2494,0.1941
CE.12478,-116.43820,33.07730,CE,CE,4,1.6218,2.5563,289.864,320.95,0.8196,0.9651,1.5788,0.8060,1.1720,1.8630,1.4595,2.4242,2.2592,0.8917,2.5291,3.2889,0.1367,0.2204,0.4034
CE.13070,-117.66890,33.48510,CE,CE,4.4,2.374,3.8727,233.306,361.87,1.1308,2.2480,1.8676,1.3590,3.1890,2.3210,2.5016,5.5206,5.5006,2.1493,5.9155,4.2885,0.5688,1.2461,0.7078
CE.13122,-117.70940,33.86880,CE,CE,4,2.4087,2.4509,191.685,330.32,0.9004,2.4087,2.1359,0.6540,1.6570,1.9640,2.0918,6.0629,10.0916,0.7178,2.5116,3.4463,0.2802,0.4916,0.5261
CE.13577,-117.80320,33.92800,CE,CE,4,3.1959,2.6815,186.838,338.39,0.9741,2.7805,3.1959,0.5350,1.8120,2.1760,3.1014,6.6752,8.9894,0.8992,1.5020,1.6844,0.2539,0.3434,0.2574
CE.13883,-117.85780,33.85340,CE,CE,4.2,2.4084,3.4691,196.009,228.23,1.6809,2.3901,1.9981,1.0560,3.2670,2.4850,3.0490,6.7227,5.5856,1.3845,4.0536,3.1964,0.4673,0.6515,0.5935
CE.13884,-117.91780,33.76670,CE,CE,4.8,2.4481,5.3228,206.649,220.83,0.8801,2.3363,1.9216,0.8490,3.5940,3.8160,1.6194,6.7452,5.8280,1.0771,4.7809,3.0964,0.5361,1.3395,1.5070
CE.13921,-117.48650,33.97530,CE,CE,3.7,1.595,1.5304,177.669,355.74,0.8628,1.2675,1.5950,0.3370,0.6280,1.0150,1.7969,5.9280,6.3928,0.3389,0.4321,0.8095,0.1262,0.1062,0.1170
CE.14530,-118.35590,33.83780,CE,CE,3.6,0.8532,1.4,212.678,267.09,0.4953,0.6665,0.8532,0.4580,1.1110,1.4000,1.3046,2.0793,2.0093,0.5403,1.3245,1.2021,0.2509,0.4009,0.5915
CE.14831,-118.32030,33.79180,CE,CE,4.2,0.9194,3.2984,215.984,288.93,0.4351,0.8062,0.7228,0.7110,1.3290,1.2320,1.3071,2.2717,1.9318,1.1334,1.2221,1.1828,0.3369,0.6448,0.6815
CE.14834,-118.32680,33.92190,CE,CE,4.9,1.5334,5.8677,203.092,309.99,0.5109,1.2864,1.1959,0.5870,2.5620,2.1450,0.9464,2.5291,3.1039,0.7990,3.3089,2.7366,0.2389,0.8117,0.6473
CE.14935,-118.26180,33.86750,CE,CE,4.7,1.1457,5.0741,206.136,299.72,0.5238,0.9218,1.1391,1.0270,1.8920,1.5720,1.4045,2.3617,2.6566,1.1446,2.4792,2.9815,0.4256,0.8012,0.5458
CE.21513,-115.74700,34.16570,CE,CE,5,3.003,6.1016,215.493,349.3,1.3601,2.9328,2.2192,2.0460,4.0590,4.2170,2.6291,4.3160,5.0133,4.8059,6.3303,7.1126,0.4074,0.9864,1.0939
CE.22506,-116.66330,34.81420,CE,CE,5.1,4.7987,6.451,106.112,388.44,1.9764,4.7987,3.4953,1.8900,6.4510,3.6300,3.7212,8.5071,7.4625,2.4642,10.9563,4.3285,0.3771,0.9892,1.1171
CE.22519,-116.67020,34.96120,CE,CE,5.3,9.1523,7.468,93.210,357.39,5.9886,6.1861,9.1523,2.3910,5.3700,7.4680,12.7706,20.6679,27.9904,2.1918,6.0379,8.7070,0.3721,0.7992,1.1184
CE.22520,-116.38470,34.19460,CE,CE,4,2.6526,2.58,177.599,388.41,1.6232,2.6526,2.0462,1.5850,2.5800,2.1410,3.3813,6.0304,4.7284,2.5141,4.3260,4.1261,0.2074,0.3554,0.6370
CE.23077,-117.69760,34.05740,CE,CE,4.5,3.6518,4.152,170.885,344.84,1.9640,2.7511,3.6518,1.2920,2.4570,2.7130,5.5631,8.2272,10.4314,1.8344,4.4635,3.3913,0.3554,0.7857,1.0331
CE.23163,-117.53980,34.12290,CE,CE,3.9,1.8821,2.2744,161.727,367.41,1.0648,1.7457,1.8702,1.1410,1.5780,1.5360,3.4763,4.1961,7.0726,1.1546,1.9793,1.7619,0.2164,0.3486,0.2954
CE.23173,-117.81430,34.00180,CE,CE,3.9,1.3017,2.1037,179.073,373.96,0.7276,1.0501,1.2740,0.7800,1.3370,1.3750,1.3096,2.8390,3.4663,1.3800,2.0168,2.9415,0.2859,0.4541,0.6008
CE.23178,-117.91080,34.13210,CE,CE,3.9,1.2543,2.319,167.412,404.54,1.0077,1.2319,1.1247,1.4340,1.3710,1.3230,1.9293,3.5363,2.9090,1.0619,1.6569,2.2217,0.4821,0.3999,0.5261
CE.23554,-117.28860,34.10290,CE,CE,4,2.3984,2.614,163.377,276.91,1.1948,2.3984,2.0598,1.4490,2.6140,2.2790,2.6916,7.3000,6.4753,2.6666,4.4160,3.0540,0.2124,0.3721,0.6168
CE.23938,-117.86570,34.02090,CE,CE,4.7,2.9911,4.9878,178.147,344.89,1.0683,2.9911,2.2848,1.1110,2.9870,2.5090,4.2735,8.4821,8.9120,1.1821,3.2764,4.3585,0.4791,0.9294,0.6408
CE.23939,-117.73820,34.12110,CE,CE,3.8,2.6861,1.8863,164.650,358.72,1.1723,1.9369,2.6701,0.8310,1.5740,1.6850,3.0889,7.5074,7.0726,0.7772,2.1443,2.8815,0.2564,0.2477,0.2939
CE.24014,-118.52230,34.04490,CE,CE,4.2,1.1057,3.2834,199.674,386.99,0.6492,0.9328,1.0830,1.2930,1.3490,1.3820,1.7519,2.7865,2.9240,2.0168,2.1268,2.3317,0.2574,0.3886,0.4379
CE.24020,-118.21760,34.07520,CE,CE,4.1,1.3469,3.2224,183.427,347.82,0.6654,1.3312,1.3396,0.8080,1.4270,1.5030,1.9293,4.4435,4.8833,0.7632,1.4495,2.3967,0.2632,0.4006,0.6050
CE.24088,-118.37560,34.29590,CE,CE,4.7,3.62,5.002,168.911,517.74,1.4266,2.5235,3.6200,1.3750,2.4720,5.0020,3.9162,7.6299,9.5517,2.2867,3.0315,8.1722,0.2929,0.3039,0.4756
CE.24103,-118.53370,34.15970,CE,CE,4.1,1.8244,3.0344,189.523,267.53,0.8386,1.7190,1.4882,0.8320,1.9760,1.7280,1.9243,3.3039,4.1011,1.2671,2.9515,3.5088,0.2457,0.5860,0.4276
CE.24458,-118.14640,34.58420,CE,CE,4.2,3.6301,3.37,130.630,414.22,2.0282,3.6301,3.4575,1.3730,3.2140,3.3700,7.1326,9.1144,10.8838,1.9793,4.2411,2.8690,0.3029,0.3824,0.8540
CE.24505,-118.94910,34.99470,CE,CE,3.9,1.4272,2.134,148.892,420.09,0.8367,1.4272,1.2511,1.2550,2.1340,1.7600,1.8044,3.1289,4.0336,1.7369,2.3692,3.4363,0.5276,0.8420,0.5763
CE.24587,-118.35010,34.19450,CE,CE,3.8,2.5147,1.935,177.295,331.37,1.1021,2.1028,2.5147,0.8470,1.2830,1.9350,3.7337,7.5774,9.3368,1.0971,2.2017,3.1014,0.2467,0.2429,0.3791
CE.24765,-118.42980,34.21980,CE,CE,5,2.2529,6.1078,178.708,301.65,1.1072,2.2529,1.7399,2.2422,6.1078,4.9392,2.7864,3.6812,5.1840,1.5966,3.5282,3.3297,0.9934,1.1451,1.5682
CE.24833,-118.31560,34.06270,CE,CE,4.6,2.2314,4.5417,188.620,376.68,0.8536,2.1246,1.9176,1.1980,2.2900,1.9940,2.1893,5.1607,5.5456,1.7219,3.3139,2.9190,0.4571,0.5898,0.8010
CE.24857,-118.92960,34.18620,CE,CE,4,1.0356,2.3805,209.459,325.2,0.2185,1.0107,0.6740,0.3470,0.8000,0.5670,0.5393,4.6434,2.5516,0.5838,0.7163,0.6508,0.1465,0.2867,0.2639
CE.24944,-118.25280,34.23020,CE,CE,3.9,2.4935,2.2266,169.476,354.16,1.0910,2.2084,2.4935,0.8230,1.9690,2.0430,3.7512,6.1329,4.8633,0.7617,1.5920,2.1793,0.1737,0.2062,0.3111
CE.24945,-118.25540,34.16320,CE,CE,4.3,2.7181,3.6133,176.171,502.63,1.3192,2.0290,2.6933,1.0640,2.1930,2.6040,3.6013,6.4853,5.7280,1.0674,3.2864,3.3189,0.2314,0.2247,0.4831
