ID,Long,Lat,Source,Network,Intensity,PGA,PGV,Distance,VS30,HNZ_PGA,HNN_PGA,HNE_PGA,HNZ_PGV,HNN_PGV,HNE_PGV,HNZ_sa(0.3),HNN_sa(0.3),HNE_sa(0.3),HNZ_sa(1.0),HNN_sa(1.0),HNE_sa(1.0),HNZ_sa(3.0),HNN_sa(3.0),HNE_sa(3.0)
CE.24461,-118.15090,34.07050,CE,CE,3.9,1.5038,2.023,181.416,408.45,0.8542,1.3021,1.5038,1.1610,2.0230,1.6610,2.1643,4.0111,4.2261,0.8627,2.2567,1.8219,0.4503,0.4399,0.3464
CE.24611,-118.24660,34.05910,CE,CE,3.9,1.7664,2.128,186.175,398.02,0.9057,1.6214,1.7664,0.8760,2.0850,2.1280,2.7666,5.2032,4.8783,1.3295,2.2192,2.4492,0.3914,0.5798,0.5276
CE.24612,-118.27230,34.04280,CE,CE,3.9,1.6774,2.219,188.826,375.66,0.8113,1.6774,1.6074,0.9390,1.5570,2.2190,2.1893,5.4806,3.6013,1.1321,2.1393,3.2664,0.5008,0.5413,0.7230
CE.24722,-118.46400,34.15430,CE,CE,3.8,2.0042,1.997,186.532,296.77,1.0672,1.8275,2.0042,1.3890,1.9480,1.9970,2.8915,6.4453,7.2175,1.6969,2.9740,2.1093,0.2279,0.4981,0.8854
CE.24804,-118.62800,34.21910,CE,CE,4.3,3.1631,3.625,189.190,311.96,1.0897,2.5981,3.1631,1.2210,2.8140,3.6250,3.2839,8.6296,5.0283,2.2092,3.3289,6.6902,0.2402,0.4466,1.0316
CE.24805,-118.52890,34.22890,CE,CE,4.5,4.0087,4.108,182.942,296.75,0.9333,4.0087,2.2356,0.8940,4.1080,3.6380,1.9068,5.3432,6.5653,1.5620,5.2657,4.6734,0.3589,0.9392,0.8392
CE.24806,-118.57140,34.22180,CE,CE,4.3,2.2799,3.687,185.852,279.52,0.9242,2.0461,2.2799,1.6460,3.1230,3.6870,1.8894,6.2579,5.7056,3.1664,3.6687,8.5321,0.9319,1.1296,1.1591
CE.24811,-118.30810,34.08380,CE,CE,3.9,2.5672,2.263,186.222,378.95,1.2431,2.1997,2.5672,1.3960,2.1050,2.2630,2.8040,7.7848,9.5492,1.9568,2.6616,2.9915,0.4658,0.4471,0.5298
CE.24812,-118.26390,34.10760,CE,CE,Null,Null,Null,182.029,408.38,0.9832,2.1997,2.5672,0.8680,2.1050,2.2630,1.8094,7.7848,9.5492,1.0104,2.6616,2.9915,0.2604,0.4471,0.5298
CE.24813,-118.23120,34.09690,CE,CE,3.7,2.0346,1.601,181.779,356.69,1.1403,1.3151,2.0346,0.8350,1.4340,1.6010,2.3017,3.0789,4.4085,0.9257,1.4245,3.1464,0.2157,0.3569,0.4958
CE.24814,-118.21090,34.13960,CE,CE,3.7,2.0993,1.722,176.699,395.9,0.7478,2.0993,1.4205,0.7780,1.7220,1.5520,2.0093,3.6338,6.2829,0.7807,1.8994,1.9043,0.1884,0.1692,0.4324
CE.24839,-118.25220,34.05820,CE,CE,3.9,1.9146,2.238,186.486,328.87,1.1612,1.9146,1.7915,0.8490,1.6090,2.2380,2.7016,5.0683,4.2685,1.3820,1.5020,2.2842,0.4204,0.5183,0.5923
CE.24861,-118.67020,34.26230,CE,CE,3.6,1.1702,1.447,187.801,376.54,0.6667,1.0818,1.1702,1.1620,1.4470,1.2400,1.5470,2.6316,2.4192,1.7094,2.1318,2.2167,0.3719,0.3299,0.5223
CE.24863,-118.99490,34.22400,CE,CE,4.1,1.3297,2.903,209.999,316.25,0.6364,1.2043,1.3297,0.8940,2.3760,2.9030,1.1496,2.1718,2.3092,1.6244,3.6088,3.7262,0.2349,0.9612,0.9962
